GRB080916C
Pass 8
RA: 119.89, Dec: -56.70, Error: 0.07 degrees
MET Trigger Time: 243216766.620, Redshift: 4.35
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     165.105 | -952.22772211 |             2.995 |          EVENT |
|     194.465 | -904.18769756 |             1.856 |         PHOTON |
|      72.358 | -780.39040232 |             1.815 |          EVENT |
|      46.963 | -738.04726076 |             1.969 |          EVENT |
|     149.271 | -689.96952704 |             0.849 |         PHOTON |
|      35.548 | -505.10157904 |             2.676 |          EVENT |
|      79.976 | -443.85808790 |             2.557 |         PHOTON |
|     160.139 | -360.62142923 |             1.223 |         PHOTON |
|      74.200 | -279.89113638 |             2.104 |          EVENT |
|      76.248 | -255.12268138 |             1.450 |          EVENT |
|     174.371 |  -89.45185268 |             1.457 |         PHOTON |
|     301.204 |    3.02509803 |             0.253 |         PHOTON |
|      49.029 |    3.07328641 |             1.207 |         PHOTON |
|     161.421 |    3.94247305 |             2.235 |          EVENT |
|     154.860 |    3.95706016 |             2.466 |         PHOTON |
|     292.040 |    3.96803561 |             1.022 |         PHOTON |
|      59.917 |    4.60045692 |             2.033 |          EVENT |
|      53.371 |    4.60822853 |             1.296 |          EVENT |
|      72.030 |    4.64511827 |             1.921 |          EVENT |
|     256.416 |    4.69549176 |             0.684 |         PHOTON |
|     125.693 |    4.71452036 |             0.584 |         PHOTON |
|     147.189 |    4.75150985 |             2.362 |          EVENT |
|     259.021 |    4.76105875 |             0.876 |          EVENT |
|     151.326 |    4.76430967 |             1.943 |         PHOTON |
|     188.699 |    4.82850212 |             1.839 |          EVENT |
|     106.860 |    4.85398924 |             0.608 |         PHOTON |
|     302.909 |    4.86413240 |             0.210 |          EVENT |
|     122.384 |    4.91121837 |             0.934 |          EVENT |
|      48.179 |    5.11604720 |             2.474 |          EVENT |
|     107.783 |    5.12263960 |             1.670 |          EVENT |
|     255.512 |    5.23187110 |             2.420 |          EVENT |
|     178.710 |    5.26714602 |             2.891 |          EVENT |
|      86.235 |    5.39006948 |             2.662 |         PHOTON |
|      83.184 |    5.40039349 |             2.066 |          EVENT |
|     236.155 |    5.48383471 |             1.790 |         PHOTON |
|     113.372 |    5.52794552 |             2.083 |          EVENT |
|     129.053 |    5.55440283 |             0.675 |         PHOTON |
|     135.625 |    5.59990609 |             2.834 |          EVENT |
|     192.841 |    5.64462170 |             1.289 |         PHOTON |
|     111.867 |    5.69899374 |             2.468 |         PHOTON |
|     381.314 |    5.71481267 |             1.049 |         PHOTON |
|      68.201 |    5.75975898 |             1.234 |         PHOTON |
|      40.760 |    5.77594152 |             2.604 |          EVENT |
|     130.982 |    5.82827798 |             1.097 |          EVENT |
|     127.248 |    5.83029336 |             2.707 |          EVENT |
|     581.942 |    5.85456523 |             0.415 |         PHOTON |
|     525.175 |    5.87910244 |             0.267 |          EVENT |
|      88.357 |    5.94162521 |             0.562 |         PHOTON |
|     274.234 |    5.97261345 |             1.900 |          EVENT |
|     204.503 |    5.98262510 |             1.746 |          EVENT |
|     473.312 |    6.05878827 |             1.461 |         PHOTON |
|     128.019 |    6.05897251 |             2.169 |          EVENT |
|     425.153 |    6.07168505 |             1.839 |         PHOTON |
|    1693.607 |    6.07213745 |             0.115 |         PHOTON |
|     149.911 |    6.12338257 |             0.807 |          EVENT |
|     102.488 |    6.12345302 |             2.647 |         PHOTON |
|      40.932 |    6.15361148 |             1.377 |          EVENT |
|     203.495 |    6.15848061 |             1.147 |          EVENT |
|     572.974 |    6.18840572 |             1.671 |         PHOTON |
|      78.157 |    6.19325903 |             2.550 |          EVENT |
|     185.391 |    6.24677777 |             2.835 |         PHOTON |
|      99.633 |    6.34807137 |             2.028 |         PHOTON |
|     664.775 |    6.36481884 |             0.307 |         PHOTON |
|      82.325 |    6.40225092 |             1.584 |         PHOTON |
|      67.619 |    6.42185453 |             2.785 |          EVENT |
|     296.400 |    6.43720937 |             1.264 |         PHOTON |
|     632.525 |    6.45621899 |             1.637 |          EVENT |
|     298.351 |    6.46033645 |             2.347 |         PHOTON |
|     212.816 |    6.59188241 |             0.934 |         PHOTON |
|      85.132 |    6.59918678 |             1.432 |         PHOTON |
|     189.713 |    6.62367752 |             1.250 |          EVENT |
|      72.323 |    6.68585667 |             1.175 |          EVENT |
|     440.703 |    6.73245087 |             1.827 |         PHOTON |
|      52.972 |    6.73528722 |             2.311 |         PHOTON |
|    2110.097 |    6.85663629 |             0.170 |         PHOTON |
|      53.999 |    6.90979889 |             0.617 |         PHOTON |
|      97.798 |    6.94519198 |             1.406 |          EVENT |
|     515.459 |    7.01823029 |             1.685 |         PHOTON |
|     760.929 |    7.02552304 |             0.419 |         PHOTON |
|      60.286 |    7.15844437 |             2.681 |          EVENT |
|     151.303 |    7.17534313 |             2.363 |         PHOTON |
|     104.087 |    7.26522380 |             2.270 |          EVENT |
|    1500.585 |    7.44478038 |             1.543 |         PHOTON |
|     114.206 |    7.74565849 |             2.066 |          EVENT |
|     148.078 |    7.89527008 |             2.861 |          EVENT |
|     171.511 |    7.92937651 |             0.939 |          EVENT |
|     455.964 |    8.08415329 |             2.836 |         PHOTON |
|      83.322 |    8.20975986 |             1.975 |          EVENT |
|      84.278 |    8.22628769 |             1.808 |          EVENT |
|     134.381 |    8.48114398 |             1.600 |         PHOTON |
|     306.955 |    8.57505965 |             0.506 |         PHOTON |
|     141.751 |    8.59330881 |             1.985 |          EVENT |
|     611.043 |    8.66332966 |             0.566 |         PHOTON |
|     382.309 |    8.80793142 |             1.163 |          EVENT |
|     155.111 |    8.86870027 |             1.066 |         PHOTON |
|     640.068 |    8.92846930 |             1.160 |         PHOTON |
|     109.035 |    8.99195594 |             0.575 |         PHOTON |
|      68.398 |    8.99304336 |             1.576 |         PHOTON |
|     125.902 |    9.34178159 |             0.962 |         PHOTON |
