GRB090510
Pass 8
RA: 333.57, Dec: -26.62, Error: 0.05 degrees
MET Trigger Time: 263607781.970, Redshift: 0.9
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|      81.927 | -442.65874717 |             1.859 |          EVENT |
|      42.786 | -135.42231175 |             1.813 |          EVENT |
|      94.250 |  -97.39904076 |             0.638 |          EVENT |
|      34.622 |   -9.59957144 |             2.337 |          EVENT |
|     726.056 |   -0.00256708 |             0.795 |         PHOTON |
|     455.833 |    0.03611058 |             0.865 |         PHOTON |
|      81.759 |    0.17258430 |             2.271 |          EVENT |
|     526.222 |    0.17646256 |             0.376 |         PHOTON |
|     299.793 |    0.65067801 |             2.046 |         PHOTON |
|      30.557 |    0.66557318 |             2.275 |          EVENT |
|     200.697 |    0.66972494 |             1.942 |          EVENT |
|      77.171 |    0.69135553 |             1.448 |          EVENT |
|      97.874 |    0.69163603 |             1.511 |          EVENT |
|     286.205 |    0.69587463 |             0.724 |         PHOTON |
|     261.230 |    0.69629416 |             2.991 |         PHOTON |
|      84.935 |    0.71142891 |             1.406 |         PHOTON |
|      65.055 |    0.71350154 |             2.820 |          EVENT |
|      85.030 |    0.72186878 |             1.191 |          EVENT |
|      86.907 |    0.72898290 |             2.507 |          EVENT |
|     270.551 |    0.73197228 |             0.604 |          EVENT |
|    1274.425 |    0.73223358 |             0.185 |         PHOTON |
|    1863.879 |    0.73278257 |             1.025 |         PHOTON |
|    3462.956 |    0.73694143 |             0.061 |         PHOTON |
|      44.673 |    0.73768705 |             2.273 |          EVENT |
|     811.425 |    0.73879430 |             0.053 |         PHOTON |
|     131.268 |    0.73891941 |             2.683 |          EVENT |
|      88.730 |    0.75560260 |             1.735 |          EVENT |
|     208.435 |    0.75767833 |             1.000 |          EVENT |
|     187.255 |    0.76690552 |             2.628 |         PHOTON |
|     167.748 |    0.76753092 |             0.576 |          EVENT |
|     103.271 |    0.76829401 |             1.461 |         PHOTON |
|     246.802 |    0.76999599 |             0.519 |         PHOTON |
|     110.703 |    0.77035064 |             1.025 |          EVENT |
|      70.410 |    0.77645987 |             2.517 |          EVENT |
|      82.916 |    0.78114524 |             0.582 |          EVENT |
|      80.892 |    0.79072160 |             0.748 |          EVENT |
|     257.510 |    0.79083034 |             0.087 |         PHOTON |
|      99.742 |    0.79176739 |             1.993 |          EVENT |
|     532.165 |    0.79306698 |             0.458 |         PHOTON |
|    1389.403 |    0.79310843 |             0.414 |         PHOTON |
|    2527.076 |    0.79417732 |             0.316 |         PHOTON |
|     358.741 |    0.79504776 |             1.065 |         PHOTON |
|     860.664 |    0.80158919 |             1.934 |         PHOTON |
|     343.644 |    0.81411383 |             0.276 |          EVENT |
|     256.466 |    0.81703204 |             0.481 |         PHOTON |
