GRB090926A
Pass 8
RA: 353.56, Dec: -66.37, Error: 0.06 degrees
MET Trigger Time: 275631628.990, Redshift: 2.11
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|      70.623 |    1.86847949 |             2.176 |         PHOTON |
|     128.981 |    2.37874013 |             2.576 |          EVENT |
|      86.418 |    3.38204652 |             2.012 |          EVENT |
|     177.342 |    4.02118593 |             2.346 |         PHOTON |
|     159.102 |    4.46839070 |             0.589 |         PHOTON |
|     355.008 |    4.67570758 |             2.107 |         PHOTON |
|      47.831 |    4.69350338 |             2.725 |          EVENT |
|    1608.480 |    4.76532406 |             0.649 |         PHOTON |
|      53.438 |    4.89812696 |             2.624 |          EVENT |
|     148.223 |    4.96772957 |             1.043 |          EVENT |
|      71.335 |    5.03293699 |             1.070 |          EVENT |
|     211.749 |    5.08705992 |             1.106 |         PHOTON |
|     271.410 |    5.09323597 |             1.144 |         PHOTON |
|      92.864 |    5.34054333 |             0.924 |          EVENT |
|      57.096 |    5.39857447 |             2.505 |          EVENT |
|      79.113 |    5.47761577 |             1.829 |          EVENT |
|     124.458 |    5.56226832 |             1.693 |         PHOTON |
|     229.125 |    5.66921580 |             1.534 |         PHOTON |
|     116.434 |    5.71406370 |             0.059 |          EVENT |
|      62.307 |    5.82585067 |             1.779 |         PHOTON |
|     100.948 |    5.83412844 |             2.650 |         PHOTON |
|     435.241 |    5.86364335 |             1.051 |         PHOTON |
|      84.934 |    5.87173629 |             2.495 |          EVENT |
|     226.087 |    5.88938195 |             1.591 |          EVENT |
|     292.790 |    5.95774788 |             2.636 |         PHOTON |
|      46.935 |    6.00999349 |             1.068 |         PHOTON |
|     350.276 |    6.08859533 |             0.577 |          EVENT |
|      49.123 |    6.10404348 |             1.216 |          EVENT |
|     113.238 |    6.10725540 |             2.156 |         PHOTON |
|     123.011 |    6.14432681 |             1.239 |          EVENT |
|     376.203 |    6.16844887 |             2.821 |         PHOTON |
|      87.496 |    6.17901564 |             2.012 |          EVENT |
|     166.238 |    6.20515364 |             0.841 |          EVENT |
|     337.058 |    6.22760236 |             0.256 |         PHOTON |
|     258.993 |    6.22880113 |             0.943 |         PHOTON |
|      45.119 |    6.26983774 |             2.126 |          EVENT |
