GRB131108A
Pass 8
RA: 156.81, Dec: 9.60, Error: 0.22 degrees
MET Trigger Time: 405636118.760, Redshift: 2.4
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|      34.492 | -309.19628710 |             0.833 |          EVENT |
|      41.795 | -102.23468739 |             1.387 |         PHOTON |
|      87.224 |    0.09141445 |             1.859 |          EVENT |
|      53.456 |    0.11082637 |             1.863 |          EVENT |
|      63.955 |    0.11137229 |             1.275 |          EVENT |
|     120.427 |    0.11579072 |             1.244 |         PHOTON |
|     429.776 |    0.11945033 |             1.123 |          EVENT |
|     247.440 |    0.12328285 |             1.749 |         PHOTON |
|      62.660 |    0.12726873 |             1.095 |         PHOTON |
|     150.352 |    0.12943870 |             2.123 |         PHOTON |
|      35.798 |    0.13140690 |             2.618 |          EVENT |
|      85.682 |    0.13249022 |             1.710 |          EVENT |
|     109.704 |    0.13820189 |             1.414 |          EVENT |
|      87.840 |    0.14456999 |             1.929 |         PHOTON |
|      71.467 |    0.15134400 |             2.013 |          EVENT |
|      45.135 |    0.15286243 |             2.013 |          EVENT |
|     326.408 |    0.15595746 |             2.815 |         PHOTON |
|     141.758 |    0.17822391 |             2.826 |         PHOTON |
|     113.257 |    0.18262440 |             2.927 |          EVENT |
|      38.463 |    0.18682057 |             1.985 |          EVENT |
|     868.513 |    0.19340515 |             0.824 |         PHOTON |
|      69.533 |    0.19418627 |             2.289 |          EVENT |
|     152.758 |    0.20285177 |             2.496 |         PHOTON |
|     132.058 |    0.21802473 |             2.757 |          EVENT |
|      89.389 |    0.22326475 |             0.503 |          EVENT |
|     402.849 |    0.24356604 |             1.208 |         PHOTON |
|     146.719 |    0.24899787 |             2.215 |          EVENT |
|     331.783 |    0.27346379 |             1.028 |          EVENT |
|     140.363 |    0.28739303 |             2.725 |         PHOTON |
|     113.617 |    0.29986113 |             2.421 |          EVENT |
|     162.769 |    0.30192828 |             1.359 |          EVENT |
|      77.196 |    0.30325270 |             2.030 |          EVENT |
|      90.636 |    0.32358015 |             2.872 |          EVENT |
|      41.909 |    0.34208786 |             0.512 |         PHOTON |
|     108.043 |    0.38024956 |             1.902 |         PHOTON |
|     130.225 |    0.65721548 |             0.355 |         PHOTON |
|     220.980 |    0.66525728 |             1.929 |         PHOTON |
|      47.090 |    0.69968724 |             2.821 |         PHOTON |
|     219.902 |    0.72171247 |             1.179 |          EVENT |
|     297.472 |    0.75781459 |             1.733 |         PHOTON |
|     559.258 |    0.77455264 |             0.230 |         PHOTON |
|     660.418 |    0.87982953 |             0.376 |         PHOTON |
|      79.315 |    0.89206529 |             1.124 |          EVENT |
|      83.415 |    0.93910366 |             1.503 |         PHOTON |
|      97.553 |    0.95615333 |             2.374 |         PHOTON |
|     159.982 |    1.10634679 |             0.820 |         PHOTON |
|      44.941 |    1.27207190 |             0.764 |         PHOTON |
|      39.505 |    1.36181206 |             2.782 |          EVENT |
|      74.339 |    1.48385531 |             1.293 |          EVENT |
|      44.542 |    1.50959802 |             1.950 |          EVENT |
