GRB140619B
Pass 8
RA: 132.66, Dec: -9.65, Error: 0.20 degrees
MET Trigger Time: 424869883.520, Redshift: n/a
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     207.052 | -210.40190411 |             2.648 |          EVENT |
|      48.554 |  -84.28981525 |             1.459 |          EVENT |
|      62.888 |    0.15992004 |             1.452 |         PHOTON |
|     325.049 |    0.26239455 |             0.693 |         PHOTON |
|     397.515 |    0.34131670 |             2.719 |         PHOTON |
|     192.357 |    0.35975832 |             0.979 |         PHOTON |
|      75.486 |    0.42142946 |             0.952 |          EVENT |
|     142.116 |    0.43760371 |             1.327 |         PHOTON |
|      64.764 |    0.46404266 |             2.413 |          EVENT |
|     125.774 |    0.51332128 |             1.688 |         PHOTON |
|      59.750 |    0.52346015 |             2.044 |         PHOTON |
|     406.205 |    0.60835761 |             0.619 |          EVENT |
|   22738.660 |    0.61338741 |             0.016 |         PHOTON |
|      78.001 |    0.74621379 |             2.969 |         PHOTON |
|     246.602 |    0.77143341 |             1.507 |          EVENT |
|     110.866 |    0.83968115 |             1.744 |          EVENT |
|      61.097 |    0.93065619 |             2.367 |         PHOTON |
|     207.592 |    0.95871764 |             0.996 |         PHOTON |
|    2336.147 |    1.31521529 |             0.313 |          EVENT |
|     148.958 |    1.46166962 |             1.579 |          EVENT |
|     709.530 |    1.80510128 |             0.402 |         PHOTON |
|     547.169 |    1.80859458 |             1.061 |         PHOTON |
|     529.264 |    1.90414113 |             0.726 |          EVENT |
|    1105.073 |    3.19277054 |             0.324 |         PHOTON |
|      54.494 |    3.63419551 |             2.226 |          EVENT |
|     272.524 |    5.31974506 |             2.872 |          EVENT |
|     172.099 |    8.77143675 |             1.049 |         PHOTON |
|     228.200 |  238.05741805 |             0.787 |         PHOTON |
|     163.128 |  446.94384730 |             2.358 |          EVENT |
|      33.646 |  704.64059806 |             2.827 |          EVENT |
|     366.843 |  796.22362381 |             2.983 |         PHOTON |
|      35.368 |  868.51976806 |             1.720 |          EVENT |
|      47.167 |  937.97414261 |             2.695 |          EVENT |
