GRB160709A
Pass 8
RA: 236.11, Dec: -28.51, Error: 0.27 degrees
MET Trigger Time: 489786547.510, Redshift: n/a
3 degree extended list, 1000 seconds before and after trigger time

| ENERGY(MeV) | TIME(Seconds) | DISTANCE(Degrees) | CLASSIFICATION |
|     263.588 | -863.23576748 |             1.572 |         PHOTON |
|      76.653 | -862.14875561 |             0.927 |          EVENT |
|      30.813 | -844.78033769 |             1.482 |          EVENT |
|      93.033 | -624.02323353 |             0.695 |         PHOTON |
|     258.577 | -591.11823905 |             2.597 |          EVENT |
|      47.539 | -462.01195782 |             0.456 |          EVENT |
|      69.818 |  -36.26307821 |             1.583 |          EVENT |
|     123.529 |    0.46713459 |             2.208 |          EVENT |
|      73.425 |    0.46883523 |             2.486 |          EVENT |
|     141.936 |    0.52907503 |             0.784 |         PHOTON |
|     127.292 |    0.57225782 |             1.605 |          EVENT |
|     243.505 |    0.62188834 |             1.601 |         PHOTON |
|     165.726 |    0.77005583 |             0.802 |          EVENT |
|     178.417 |    0.80781138 |             0.797 |         PHOTON |
|     886.624 |    0.84404200 |             0.211 |         PHOTON |
|     304.924 |    0.87227190 |             0.623 |         PHOTON |
|     138.619 |    1.02709794 |             2.054 |          EVENT |
|     322.896 |    1.11366868 |             1.085 |         PHOTON |
|     185.506 |    1.11997509 |             0.456 |          EVENT |
|      99.044 |    1.28347969 |             1.373 |          EVENT |
|      67.108 |    1.44836432 |             2.540 |          EVENT |
|     990.962 |    1.46930265 |             0.157 |         PHOTON |
|      67.036 |    1.62553430 |             1.110 |          EVENT |
|     971.760 |    1.76543152 |             0.118 |         PHOTON |
|     289.937 |    1.91258347 |             1.919 |         PHOTON |
|      58.887 |    2.25443757 |             2.466 |          EVENT |
|     113.239 |    2.57690138 |             1.059 |          EVENT |
|     101.060 |    3.06606543 |             2.883 |         PHOTON |
|     105.696 |    3.28932118 |             2.696 |          EVENT |
|     430.993 |    3.54721475 |             0.752 |         PHOTON |
|      60.231 |    3.58429652 |             2.315 |          EVENT |
|     928.503 |    3.83498985 |             0.596 |         PHOTON |
|      48.334 |    4.02121472 |             2.313 |          EVENT |
|     168.930 |    5.18974513 |             0.704 |         PHOTON |
|      64.934 |   10.01480865 |             0.732 |          EVENT |
|     563.086 |   17.03916943 |             0.357 |         PHOTON |
|     215.195 |   19.77640390 |             0.500 |         PHOTON |
|     313.874 |   25.77028811 |             1.128 |         PHOTON |
|     214.475 |   30.85904032 |             0.284 |         PHOTON |
|      94.099 |   89.25893092 |             0.354 |         PHOTON |
|      88.565 |  216.57560521 |             1.897 |          EVENT |
|      50.789 |  364.72590852 |             1.956 |          EVENT |
|     174.377 |  374.79192132 |             1.044 |          EVENT |
|     313.372 |  384.75209606 |             2.094 |         PHOTON |
|      50.188 |  400.60937303 |             2.697 |         PHOTON |
|      50.879 |  418.36208725 |             2.439 |         PHOTON |
|      35.661 |  447.32954210 |             2.570 |          EVENT |
|      34.958 |  560.28600460 |             1.855 |          EVENT |
|     312.204 |  567.59600860 |             1.697 |          EVENT |
|      86.858 |  575.65705782 |             2.688 |          EVENT |
|      33.502 |  609.88018435 |             0.354 |          EVENT |
|     278.774 |  663.51732141 |             1.229 |          EVENT |
|     236.887 |  688.89550775 |             0.530 |         PHOTON |
|     144.471 |  716.24020302 |             0.728 |         PHOTON |
|     180.215 |  716.84873575 |             2.460 |          EVENT |
|     450.618 |  730.03949934 |             2.573 |          EVENT |
|     788.618 |  735.99880868 |             2.772 |          EVENT |
|     184.183 |  739.25794244 |             1.958 |         PHOTON |
|     246.976 |  756.59698254 |             1.313 |          EVENT |
|     131.121 |  765.81399447 |             1.835 |         PHOTON |
|      90.548 |  772.71271706 |             2.078 |          EVENT |
|     758.201 |  787.15515804 |             2.135 |         PHOTON |
|    1623.705 |  799.12443501 |             2.902 |          EVENT |
|     109.748 |  804.23302704 |             2.686 |          EVENT |
|     220.817 |  810.22587919 |             1.754 |          EVENT |
|      53.490 |  838.52637386 |             0.774 |          EVENT |
|     112.043 |  840.83864206 |             1.074 |          EVENT |
|     134.621 |  845.04509431 |             0.713 |          EVENT |
|    1231.765 |  849.80542201 |             1.544 |         PHOTON |
|     228.475 |  854.97325063 |             2.169 |         PHOTON |
|     943.319 |  878.34762353 |             1.362 |         PHOTON |
|     171.737 |  880.20050442 |             0.583 |         PHOTON |
|     236.155 |  888.15037942 |             2.275 |          EVENT |
|     154.835 |  888.18158740 |             2.035 |          EVENT |
|     376.833 |  922.85457838 |             2.321 |         PHOTON |
|     115.863 |  924.26675588 |             1.713 |          EVENT |
|     480.340 |  933.59962851 |             1.862 |         PHOTON |
|     534.573 |  943.49524152 |             1.892 |         PHOTON |
|     620.318 |  943.87659723 |             0.785 |          EVENT |
|     211.334 |  955.50039583 |             1.730 |          EVENT |
|     143.921 |  956.79763770 |             2.956 |          EVENT |
|     333.636 |  973.29230362 |             0.993 |          EVENT |
|     214.870 |  973.71194810 |             2.748 |         PHOTON |
